country,isocode,ison,region,language,date,id,wgt,patience,risktaking,posrecip,negrecip,altruism,trust,subj_math_skills,female,age
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.754903159,-0.038009163,-0.14646633,-0.52839416,-0.80246168,-0.76263845,-0.14354669,4,0,50
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.275232333,-0.038009163,0.75338167,0.59438413,0.007411241,0.27114552,-0.14354669,3,0,20
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.93113074,-0.4206222,0.79684091,1.3253982,0.37353554,-0.13995272,0.58577365,4,0,26
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,1.655115973,-0.29308453,1.0326678,1.3253982,0.37353554,0.93364483,1.315094,5,0,57
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,2.289305354,-0.29308453,0.2941924,-0.43428695,0.19974454,-1.9919075,-1.2375273,2,1,24
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.275232333,-0.038009163,-0.69257408,-0.79979402,1.2965361,-2.1475787,-1.6021874,1,1,15
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.275232333,-0.46297464,0.27869496,-0.50213695,1.9415319,0.77394778,1.6797541,5,1,35
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.275232333,0.13753524,1.0326678,0.22887708,0.37353554,-0.55507654,-1.2375273,7,1,15
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,1.027301536,-0.16554686,1.3584461,1.3253982,1.9415319,0.77394778,-1.2375273,4,1,35
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.608993817,-0.038009163,1.7866404,0.66223413,0.49557698,-0.15202968,0.95043379,2,0,20
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.376450199,-0.4206222,2.0379646,-0.82605118,0.52167767,0.21120369,0.58577365,8,0,28
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.470562749,0.5149743,0.045901209,0.95989114,-0.92450309,-1.0739814,1.315094,0,0,33
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.469718878,-0.80323523,-0.11850448,1.3253982,1.1831826,-1.3812987,0.58577365,8,0,18
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.608993817,-0.67569751,1.0202034,1.3253982,1.6012822,0.007667416,1.315094,4,0,24
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,1.485676799,0.68486446,-0.10300706,0.59438413,0.54732656,0.98150975,1.6797541,1,1,40
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,1.765748539,-0.038009163,1.4608623,0.66223413,-1.1944607,-0.29562417,-0.14354669,3,1,24
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.882874269,-0.29308453,-0.94389838,1.3253982,0.73943394,0.63035315,0.22111349,6,1,23
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.441437135,0.79122585,1.0326678,0.95989114,0.25149411,0.98150975,-0.14354669,3,1,20
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.682187129,1.0463012,0.045901209,0.95989114,0.73965985,1.7120019,-1.2375273,3,1,25
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.536005646,-1.3133858,-0.70807159,1.3253982,1.9674066,-2.2992246,1.315094,3,0,35
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.300010339,-1.3133858,0.26623058,1.3253982,2.3335309,2.3306623,-0.14354669,4,0,31
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.275232333,0.13236131,1.979008,0.59431702,2.3335309,0.77394778,0.95043379,3,0,22
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,2.005389229,-1.1858482,0.045901209,1.3253982,2.3335309,0.56638581,-0.87286705,1,0,45
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.802155692,-0.39905584,-0.61812001,1.3253982,2.0894482,1.8117573,1.315094,1,0,48
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,1.127786943,0.068352275,1.5818084,0.36457703,1.5495328,-0.71477371,-1.2375273,0,1,32
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.393758392,-0.61382902,-1.3720927,-0.96175116,1.0354923,0.21522933,1.315094,0,1,50
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.469068524,-0.038009163,0.95821369,0.59438413,-1.5864599,-2.5586772,-0.14354669,2,1,15
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,1.812220156,0.61050749,0.97709113,0.36457703,-0.41046262,0.059557922,0.95043379,0,1,25
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,1.946082009,-0.29308453,0.78134352,-0.50213695,-1.5864599,-0.10013921,-1.9668475,0,1,20
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,1.84590696,-0.038009163,0.75338167,0.59438413,1.4009389,0.72205722,1.6797541,3,0,30
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.647113277,-0.038009163,0.76887906,0.59438413,1.30545,0.77394778,1.6797541,10,0,18
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.400013785,-0.038009163,0.13585277,0.95989114,0.76553464,-0.45934692,-1.2375273,1,0,28
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.275232333,-0.29308453,0.26623058,0.95989114,0.39941034,-1.2775177,0.95043379,2,0,53
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.608993817,-0.038009163,-0.44124988,0.95989114,0.25172001,2.3306623,0.95043379,5,0,19
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,1.091604618,-0.67569751,0.64793271,-0.66409415,0.39963624,-1.6886159,-0.14354669,0,1,40
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.658940672,-0.038009163,-0.69560713,0.22887708,-0.26254642,0.98150975,-0.14354669,0,1,22
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.375928981,-0.038009163,2.2892888,0.22887708,-0.65454549,0.77394778,-0.14354669,0,1,30
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,1.127786943,-0.038009163,1.9945054,-1.1237082,0.61761838,0.1593132,-1.2375273,2,1,25
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.527152538,-0.038009163,2.1124189,0.22887708,0.2775948,0.98150975,1.6797541,2,1,18
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,1.819560062,-0.038009163,1.0326678,0.59431702,2.3335309,0.56638581,-0.14354669,7,0,50
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,0.275232333,0.66972256,-0.26335016,0.22887708,1.7233237,-0.76666415,-0.14354669,8,0,32
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,1.6748562,-0.61382902,1.4589412,0.59431702,2.3335309,-0.99614573,1.6797541,5,0,33
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,0.275232333,,,1.3253982,,1.7212932,,8,0,33
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,1.6748562,-0.038009163,1.2715275,0.22887708,0.85210979,0.98150975,-0.14354669,10,0,25
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,0.383330641,-0.67569751,0.042868163,0.22887708,2.3335309,0.98150975,-0.14354669,5,1,30
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,1.980902399,0.14270924,-0.30783904,0.59431702,2.3335309,0.51449531,0.58577365,5,1,40
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,0.670730808,2.0402524,1.7866404,0.59431702,2.3335309,0.46260482,1.6797541,10,1,40
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,1.324311404,0.2118922,1.4608623,0.59431702,2.3335309,0.46260482,1.6797541,5,1,19
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,0.358728005,-0.54815984,1.2250353,0.73008406,0.76553464,0.41474,1.6797541,7,1,16
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,0.899285748,-0.022006942,1.2839919,-1.0974511,-0.38436192,-1.1944928,1.6797541,9,0,24
Afghanistan,AFG,4,Lowgar,Pashto,20-Apr-12,7.11E+12,1.509806317,1.1526626,1.3149868,-1.5570651,0.73965985,-0.38151121,1.6797541,6,0,45
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,1.513293589,0.89758736,0.78134352,-0.43428695,1.0611413,0.67419237,1.315094,8,0,35
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,1.042302144,-0.23990379,0.63546824,-0.79979402,0.73965985,-0.91830993,0.95043379,5,0,28
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,0.694868096,0.15353753,0.89925694,-1.6249152,0.81728423,-0.45934692,-1.2375273,7,0,30
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,1.023280693,1.0463012,0.03040378,0.59438413,1.30545,0.52254659,-0.14354669,3,1,25
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,1.482253168,2.0402524,-1.8397386,1.3253982,0.85210979,-0.55507654,1.6797541,6,1,45
Afghanistan,AFG,4,Lowgar,Pashto,21-Apr-12,7.11E+12,0.275232333,0.13753524,0.81233835,0.95989114,2.3335309,0.82583821,1.6797541,5,1,35
